Timestamp,System_Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Command
17043.506053041,1689476979,1284962.0,-1306432.0,1075063.0,395092.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.512051208,1689476979,1308202.0,-1306865.0,1085634.0,399691.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.512390791,1689476979,1318529.0,-1308779.0,1086762.0,399402.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.518234458,1689476979,1296176.0,-1308454.0,1076284.0,394858.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.518468166,1689476979,1283203.0,-1307164.0,1073347.0,394146.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.524587625,1689476979,1303164.0,-1306986.0,1083118.0,398703.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.524866875,1689476979,1319301.0,-1308831.0,1087144.0,399723.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.530497833,1689476979,1300664.0,-1308876.0,1077426.0,395123.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.530762541,1689476979,1283633.0,-1306266.0,1072998.0,394284.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.546467333,1689476979,1299501.0,-1305687.0,1082048.0,398644.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.546840416,1689476979,1320327.0,-1307320.0,1088751.0,401076.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.552935375,1689476979,1306559.0,-1308006.0,1080499.0,397000.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.553501708,1689476979,1285305.0,-1306377.0,1073583.0,394510.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.558826125,1689476979,1295046.0,-1305639.0,1080356.0,397840.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.574740166,1689476979,1318115.0,-1307835.0,1088277.0,400518.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.586444666,1689476979,1310059.0,-1308916.0,1081781.0,396966.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.594761875,1689476979,1286780.0,-1307388.0,1073312.0,393694.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.595264541,1689476979,1290671.0,-1306274.0,1078035.0,396344.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.6008305,1689476979,1315248.0,-1307631.0,1087688.0,400222.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.601402291,1689476979,1313563.0,-1309666.0,1083506.0,397167.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.606917791,1689476979,1289145.0,-1308183.0,1073745.0,393330.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.607195791,1689476979,1286710.0,-1306499.0,1076032.0,395238.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.613037416,1689476979,1311377.0,-1306921.0,1086454.0,400058.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.613490166,1689476979,1317046.0,-1308598.0,1085819.0,399052.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.619198791,1689476979,1293198.0,-1308225.0,1075324.0,394286.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.619444541,1689476979,1284898.0,-1306003.0,1075103.0,395174.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.625705041,1689476979,1308078.0,-1306040.0,1086028.0,400125.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.626186583,1689476979,1319730.0,-1307691.0,1088069.0,400246.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.6410915,1689476979,1297857.0,-1308043.0,1077517.0,395191.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.641880291,1689476979,1283556.0,-1306734.0,1074205.0,394525.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
